Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-13T23:59:59+01:00;10;9090868;Österreich;72827;0.8011006209748069;162515;1.7876730802823202
2021-01-14T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-14T23:59:59+01:00;1;301203;Burgenland;3095;1.0275462063790899;5370;1.7828507684186399
2021-01-14T23:59:59+01:00;2;568946;Kärnten;6310;1.10906834743543;10105;1.77609122834153
2021-01-14T23:59:59+01:00;3;1717617;Niederösterreich;14992;0.8728371924590871;25475;1.4831595169353797
2021-01-14T23:59:59+01:00;4;1521843;Oberösterreich;9575;0.6291713402762309;24380;1.6020049374344099
2021-01-14T23:59:59+01:00;5;568317;Salzburg;5865;1.0319944678761999;10915;1.9205830548795801
2021-01-14T23:59:59+01:00;6;1264384;Steiermark;13465;1.06494545960721;29740;2.35213352905446
2021-01-14T23:59:59+01:00;7;769613;Tirol;8080;1.04987831546505;12540;1.6293903559321397
2021-01-14T23:59:59+01:00;8;405542;Vorarlberg;8725;2.15144177421821;10360;2.55460593477371
2021-01-14T23:59:59+01:00;9;1973403;Wien;13315;0.674722801171378;39020;1.9772950583332398
2021-01-14T23:59:59+01:00;10;9090868;Österreich;83422;0.9176461477605881;167220;1.83942831421598
2021-01-15T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-15T23:59:59+01:00;1;301203;Burgenland;3095;1.0275462063790899;5370;1.7828507684186399
2021-01-15T23:59:59+01:00;2;568946;Kärnten;7810;1.3727137549081998;10465;1.8393661261349898
2021-01-15T23:59:59+01:00;3;1717617;Niederösterreich;15212;0.8856456357849279;27214;1.58440443940646
2021-01-15T23:59:59+01:00;4;1521843;Oberösterreich;9675;0.635742320331335;35622;2.34071451522923
2021-01-15T23:59:59+01:00;5;568317;Salzburg;6205;1.0918202341299001;10915;1.9205830548795801
2021-01-15T23:59:59+01:00;6;1264384;Steiermark;13815;1.09262692346629;29635;2.34382908989674
2021-01-15T23:59:59+01:00;7;769613;Tirol;8305;1.07911378835856;13198;1.7148878722163001
2021-01-15T23:59:59+01:00;8;405542;Vorarlberg;8915;2.19829265526135;10360;2.55460593477371
2021-01-15T23:59:59+01:00;9;1973403;Wien;13315;0.674722801171378;40232;2.03871180899188
2021-01-15T23:59:59+01:00;10;9090868;Österreich;86347;0.9498212931922451;182326;2.0055950652897
2021-01-16T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-16T23:59:59+01:00;1;301203;Burgenland;3450;1.14540691825779;5370;1.7828507684186399
2021-01-16T23:59:59+01:00;2;568946;Kärnten;7810;1.3727137549081998;10465;1.8393661261349898
2021-01-16T23:59:59+01:00;3;1717617;Niederösterreich;15937;0.9278552785632651;27214;1.58440443940646
2021-01-16T23:59:59+01:00;4;1521843;Oberösterreich;10725;0.70473761090993;35214;2.31390491660441
2021-01-16T23:59:59+01:00;5;568317;Salzburg;6585;1.1586843258252;10915;1.9205830548795801
2021-01-16T23:59:59+01:00;6;1264384;Steiermark;14510;1.14759440170075;29635;2.34382908989674
2021-01-16T23:59:59+01:00;7;769613;Tirol;8305;1.07911378835856;13198;1.7148878722163001
2021-01-16T23:59:59+01:00;8;405542;Vorarlberg;9425;2.32405028332454;10438;2.57383945435984
2021-01-16T23:59:59+01:00;9;1973403;Wien;25195;1.27672857495403;40207;2.0374449618248303
2021-01-16T23:59:59+01:00;10;9090868;Österreich;101942;1.12136706857915;181971;2.0016900476390203
2021-01-17T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-17T23:59:59+01:00;1;301203;Burgenland;3450;1.14540691825779;5370;1.7828507684186399
2021-01-17T23:59:59+01:00;2;568946;Kärnten;7810;1.3727137549081998;10465;1.8393661261349898
2021-01-17T23:59:59+01:00;3;1717617;Niederösterreich;15937;0.9278552785632651;27214;1.58440443940646
2021-01-17T23:59:59+01:00;4;1521843;Oberösterreich;10725;0.70473761090993;36954;2.42823996956322
2021-01-17T23:59:59+01:00;5;568317;Salzburg;6585;1.1586843258252;10915;1.9205830548795801
2021-01-17T23:59:59+01:00;6;1264384;Steiermark;14510;1.14759440170075;29635;2.34382908989674
2021-01-17T23:59:59+01:00;7;769613;Tirol;8305;1.07911378835856;13198;1.7148878722163001
2021-01-17T23:59:59+01:00;8;405542;Vorarlberg;9425;2.32405028332454;10438;2.57383945435984
2021-01-17T23:59:59+01:00;9;1973403;Wien;25195;1.27672857495403;40207;2.0374449618248303
2021-01-17T23:59:59+01:00;10;9090868;Österreich;101942;1.12136706857915;183711;2.02083013415221
2021-01-18T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
2021-01-18T23:59:59+01:00;1;301203;Burgenland;4125;1.36950827182996;5898;1.95814782721288
2021-01-18T23:59:59+01:00;2;568946;Kärnten;10050;1.76642423006753;10465;1.8393661261349898
2021-01-18T23:59:59+01:00;3;1717617;Niederösterreich;20745;1.20777798542981;27262;1.5871990088593702
2021-01-18T23:59:59+01:00;4;1521843;Oberösterreich;19781;1.2998055647001698;35622;2.34071451522923
2021-01-18T23:59:59+01:00;5;568317;Salzburg;8635;1.5193985047077598;10915;1.9205830548795801
2021-01-18T23:59:59+01:00;6;1264384;Steiermark;22615;1.78861801478032;29683;2.34762540494027
2021-01-18T23:59:59+01:00;7;769613;Tirol;11788;1.5316789087502398;13198;1.7148878722163001
2021-01-18T23:59:59+01:00;8;405542;Vorarlberg;9765;2.4078887020333304;10438;2.57383945435984
2021-01-18T23:59:59+01:00;9;1973403;Wien;32190;1.6311924122948998;41893;2.12288113477075
2021-01-18T23:59:59+01:00;10;9090868;Österreich;139694;1.5366409456170702;184689;2.03158818277859
2021-01-19T23:59:59+01:00;0;;Bundesverwaltung;0;;0;
