Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
30.11.2021 00:00:00;10935;13990;48;-3103;469103
08.12.2021 00:00:00;4304;11148;63;-6907;395681
16.12.2021 00:00:00;2690;6247;39;-3596;410701
24.12.2021 00:00:00;2102;3776;19;-1693;508023
01.01.2022 00:00:00;2999;1988;8;1003;328668
09.01.2022 00:00:00;10871;3000;14;7857;446699
17.01.2022 00:00:00;18281;9686;8;8587;453008
25.01.2022 00:00:00;38124;17042;16;21066;533996
02.02.2022 00:00:00;33851;24945;21;8885;1223923
10.02.2022 00:00:00;33199;43522;28;-10351;828701
18.02.2022 00:00:00;25694;34719;20;-9045;491800
26.02.2022 00:00:00;22051;26515;31;-4495;740205
06.03.2022 00:00:00;26472;27376;24;-928;308045
14.03.2022 00:00:00;39999;31262;27;8710;345283
22.03.2022 00:00:00;54381;43122;35;11224;450123
30.03.2022 00:00:00;25910;36578;49;-10717;805811
07.04.2022 00:00:00;13744;24184;30;-10470;721020
15.04.2022 00:00:00;8640;17168;22;-8550;129645
23.04.2022 00:00:00;5432;9384;16;-3968;113218
01.05.2022 00:00:00;3908;7229;14;-3335;83714
09.05.2022 00:00:00;4681;5016;6;-341;68304
17.05.2022 00:00:00;4375;4232;4;139;155889
25.05.2022 00:00:00;2593;2859;2;-268;256898
02.06.2022 00:00:00;3240;2165;5;1070;153663
10.06.2022 00:00:00;4006;3192;2;812;83820
18.06.2022 00:00:00;6122;4925;2;1195;58719
26.06.2022 00:00:00;6442;5779;6;657;63784
04.07.2022 00:00:00;10964;9558;9;1397;64219
12.07.2022 00:00:00;14957;10136;6;4815;109410
20.07.2022 00:00:00;13509;10524;11;2974;114363
28.07.2022 00:00:00;7439;11549;15;-4125;82625
05.08.2022 00:00:00;5629;9677;8;-4056;65210
13.08.2022 00:00:00;4755;6285;2;-1532;58477
21.08.2022 00:00:00;3129;4901;6;-1778;46519
29.08.2022 00:00:00;5005;6028;10;-1033;36664
06.09.2022 00:00:00;5310;4409;12;889;133632
14.09.2022 00:00:00;5622;3395;5;2222;78130
22.09.2022 00:00:00;7940;4213;3;3724;114653
30.09.2022 00:00:00;12575;8355;9;4211;103387
08.10.2022 00:00:00;11230;12004;13;-787;0
16.10.2022 00:00:00;6595;15697;13;-9115;0
24.10.2022 00:00:00;6366;11191;12;-4837;172919
01.11.2022 00:00:00;4089;6503;13;-2427;0
09.11.2022 00:00:00;3952;3837;9;106;94829
17.11.2022 00:00:00;4247;2834;7;1406;104106
04.03.2020 00:00:00;14;0;0;14;0
12.03.2020 00:00:00;96;3;1;92;0
20.03.2020 00:00:00;53;5;3;45;0
28.03.2020 00:00:00;611;112;12;487;0
05.04.2020 00:00:00;183;205;20;-42;4282
13.04.2020 00:00:00;87;285;21;-219;3535
21.04.2020 00:00:00;70;403;17;-350;6069
29.04.2020 00:00:00;60;156;7;-103;8176
07.05.2020 00:00:00;40;108;3;-71;5640
15.05.2020 00:00:00;75;63;0;12;6745
23.05.2020 00:00:00;24;46;1;-23;5875
31.05.2020 00:00:00;5;32;4;-31;6391
08.06.2020 00:00:00;24;52;3;-31;5164
16.06.2020 00:00:00;19;23;3;-7;5030
24.06.2020 00:00:00;35;22;4;9;6111
02.07.2020 00:00:00;79;42;3;34;7834
10.07.2020 00:00:00;105;59;0;46;7757
18.07.2020 00:00:00;81;61;0;20;8677
26.07.2020 00:00:00;101;61;0;40;7008
03.08.2020 00:00:00;93;182;1;-90;5123
11.08.2020 00:00:00;187;97;2;88;8750
19.08.2020 00:00:00;347;131;2;214;11283
27.08.2020 00:00:00;225;259;0;-34;14044
04.09.2020 00:00:00;380;372;5;3;14232
12.09.2020 00:00:00;414;229;4;181;14674
20.09.2020 00:00:00;471;380;5;86;12584
28.09.2020 00:00:00;738;795;2;-59;14493
06.10.2020 00:00:00;1076;664;12;400;18237
14.10.2020 00:00:00;1436;872;8;556;17033
22.10.2020 00:00:00;3232;1017;19;2196;25278
30.10.2020 00:00:00;5715;2418;40;3257;26421
07.11.2020 00:00:00;5324;3602;75;1647;29810
15.11.2020 00:00:00;4613;5358;84;-829;27080
23.11.2020 00:00:00;4609;6335;123;-1849;20422
01.12.2020 00:00:00;3937;5809;143;-2015;23192
09.12.2020 00:00:00;2481;3873;133;-1525;20351
17.12.2020 00:00:00;1949;3015;108;-1174;28216
25.12.2020 00:00:00;1283;2258;70;-1045;21616
02.01.2021 00:00:00;1632;2238;69;-675;0
10.01.2021 00:00:00;1386;1868;60;-542;14175
18.01.2021 00:00:00;1614;1883;65;-334;106991
26.01.2021 00:00:00;1566;1516;57;-7;103256
03.02.2021 00:00:00;1508;1267;36;205;181897
11.02.2021 00:00:00;1552;1401;37;114;231481
19.02.2021 00:00:00;2084;1474;23;587;200765
27.02.2021 00:00:00;2210;1523;32;655;318941
07.03.2021 00:00:00;1944;1631;23;290;158844
15.03.2021 00:00:00;2747;2004;35;708;139103
23.03.2021 00:00:00;3523;2333;22;1168;369807
31.03.2021 00:00:00;3378;2745;38;595;358215
08.04.2021 00:00:00;2483;3304;36;-857;352501
16.04.2021 00:00:00;2350;3017;34;-701;286539
24.04.2021 00:00:00;1888;2443;28;-583;302593
02.05.2021 00:00:00;1099;1980;31;-912;155568
10.05.2021 00:00:00;915;1950;15;-1050;135456
18.05.2021 00:00:00;841;1696;15;-870;309371
26.05.2021 00:00:00;606;833;13;-240;442992
02.12.2021 00:00:00;7213;12384;77;-5248;466309
10.12.2021 00:00:00;4797;9844;57;-5104;411029
18.12.2021 00:00:00;1982;5229;32;-3279;332869
26.12.2021 00:00:00;1732;2813;23;-1104;290509
03.01.2022 00:00:00;5981;2193;23;3765;198125
11.01.2022 00:00:00;16477;4678;10;11789;515761
19.01.2022 00:00:00;25129;10810;12;14307;842360
27.01.2022 00:00:00;37889;18897;17;18975;1735543
04.02.2022 00:00:00;33409;30457;20;2932;596739
12.02.2022 00:00:00;24909;39949;33;-15073;681801
20.02.2022 00:00:00;21329;29303;25;-7999;368063
28.02.2022 00:00:00;27291;27311;31;-51;161121
08.03.2022 00:00:00;50962;31219;26;19717;627441
16.03.2022 00:00:00;51536;35174;26;16336;1057150
24.03.2022 00:00:00;36917;41356;42;-4481;663883
01.04.2022 00:00:00;18726;45716;51;-27041;552375
09.04.2022 00:00:00;10526;21611;30;-11115;516345
17.04.2022 00:00:00;5557;12973;18;-7434;106217
25.04.2022 00:00:00;6113;8245;13;-2145;84727
03.05.2022 00:00:00;7071;6107;14;950;164112
11.05.2022 00:00:00;5001;5059;6;-64;228920
19.05.2022 00:00:00;3117;4383;6;-1272;135858
27.05.2022 00:00:00;1813;3721;2;-1910;57558
04.06.2022 00:00:00;2373;2458;3;-88;62425
12.06.2022 00:00:00;2843;3023;4;-184;32206
20.06.2022 00:00:00;8379;4009;5;4365;53852
28.06.2022 00:00:00;12425;7380;5;5040;117247
06.07.2022 00:00:00;12260;8402;9;3849;112025
14.07.2022 00:00:00;13087;11207;4;1876;181825
22.07.2022 00:00:00;10867;13433;14;-2580;118794
30.07.2022 00:00:00;5674;11984;14;-6324;66798
07.08.2022 00:00:00;3804;6368;11;-2575;43269
15.08.2022 00:00:00;3931;5380;4;-1453;31282
23.08.2022 00:00:00;5921;5449;6;466;83301
31.08.2022 00:00:00;4773;4174;7;592;86045
08.09.2022 00:00:00;4286;4002;6;278;76837
16.09.2022 00:00:00;5360;5227;1;132;74268
24.09.2022 00:00:00;6933;5189;4;1740;65995
02.10.2022 00:00:00;8523;7236;4;1283;0
10.10.2022 00:00:00;13361;14551;10;-1200;207714
18.10.2022 00:00:00;13199;13755;10;-566;123035
26.10.2022 00:00:00;4433;7328;11;-2906;0
03.11.2022 00:00:00;5902;4660;5;1237;100526
11.11.2022 00:00:00;3712;4704;4;-996;65086
19.11.2022 00:00:00;3085;3941;1;-857;0
27.02.2020 00:00:00;2;0;0;2;0
06.03.2020 00:00:00;29;0;0;29;0
14.03.2020 00:00:00;183;3;1;179;0
22.03.2020 00:00:00;74;9;4;61;0
30.03.2020 00:00:00;664;161;19;484;0
07.04.2020 00:00:00;288;364;26;-102;3939
15.04.2020 00:00:00;128;449;16;-337;5005
23.04.2020 00:00:00;60;231;7;-178;4041
01.05.2020 00:00:00;37;104;4;-71;7680
09.05.2020 00:00:00;30;66;7;-43;7621
17.05.2020 00:00:00;26;25;1;0;5116
