date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-10-19T23:59:59+02:00;0;NoState;00-11;Female;0;192;-1.0
2022-10-19T23:59:59+02:00;0;NoState;00-11;Male;0;195;-1.0
2022-10-19T23:59:59+02:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;12-14;Female;0;240;-1.0
2022-10-19T23:59:59+02:00;0;NoState;12-14;Male;0;220;-1.0
2022-10-19T23:59:59+02:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;15-24;Female;0;3427;-1.0
2022-10-19T23:59:59+02:00;0;NoState;15-24;Male;0;3099;-1.0
2022-10-19T23:59:59+02:00;0;NoState;15-24;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;25-34;Female;0;5591;-1.0
2022-10-19T23:59:59+02:00;0;NoState;25-34;Male;0;6859;-1.0
2022-10-19T23:59:59+02:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-10-19T23:59:59+02:00;0;NoState;35-44;Female;0;5185;-1.0
2022-10-19T23:59:59+02:00;0;NoState;35-44;Male;0;6551;-1.0
2022-10-19T23:59:59+02:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-10-19T23:59:59+02:00;0;NoState;45-54;Female;0;7033;-1.0
2022-10-19T23:59:59+02:00;0;NoState;45-54;Male;0;6087;-1.0
2022-10-19T23:59:59+02:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-10-19T23:59:59+02:00;0;NoState;55-64;Female;0;5057;-1.0
2022-10-19T23:59:59+02:00;0;NoState;55-64;Male;0;4444;-1.0
2022-10-19T23:59:59+02:00;0;NoState;55-64;NonBinary;0;1;-1.0
2022-10-19T23:59:59+02:00;0;NoState;65-74;Female;0;2185;-1.0
2022-10-19T23:59:59+02:00;0;NoState;65-74;Male;0;1712;-1.0
2022-10-19T23:59:59+02:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;75-84;Female;0;1452;-1.0
2022-10-19T23:59:59+02:00;0;NoState;75-84;Male;0;1076;-1.0
2022-10-19T23:59:59+02:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;85+;Female;0;602;-1.0
2022-10-19T23:59:59+02:00;0;NoState;85+;Male;0;205;-1.0
2022-10-19T23:59:59+02:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;0;NoState;All;All;0;62135;-1.0
2022-10-19T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;0;714;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;00-11;Female;15261;878;5.75322718039447
2022-10-19T23:59:59+02:00;1;Burgenland;00-11;Male;16126;951;5.897308694034481
2022-10-19T23:59:59+02:00;1;Burgenland;00-11;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;12-14;Female;4030;1474;36.575682382134
2022-10-19T23:59:59+02:00;1;Burgenland;12-14;Male;4246;1566;36.8817710786623
2022-10-19T23:59:59+02:00;1;Burgenland;12-14;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;15-24;Female;13084;8307;63.4897584836441
2022-10-19T23:59:59+02:00;1;Burgenland;15-24;Male;14105;8183;58.014888337468996
2022-10-19T23:59:59+02:00;1;Burgenland;15-24;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;25-34;Female;15170;9186;60.5537244561635
2022-10-19T23:59:59+02:00;1;Burgenland;25-34;Male;15566;9234;59.32159835539
2022-10-19T23:59:59+02:00;1;Burgenland;25-34;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;35-44;Female;19628;12710;64.75443244344811
2022-10-19T23:59:59+02:00;1;Burgenland;35-44;Male;18676;11810;63.2362390233455
2022-10-19T23:59:59+02:00;1;Burgenland;35-44;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;45-54;Female;22702;16700;73.56180072240329
2022-10-19T23:59:59+02:00;1;Burgenland;45-54;Male;22196;16277;73.33303297891509
2022-10-19T23:59:59+02:00;1;Burgenland;45-54;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;55-64;Female;24992;20013;80.0776248399488
2022-10-19T23:59:59+02:00;1;Burgenland;55-64;Male;24513;19944;81.3609105372659
2022-10-19T23:59:59+02:00;1;Burgenland;55-64;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;65-74;Female;19531;16824;86.13998259177721
2022-10-19T23:59:59+02:00;1;Burgenland;65-74;Male;18411;16039;87.1163978056597
2022-10-19T23:59:59+02:00;1;Burgenland;65-74;NonBinary;0;0;-1.0
2022-10-19T23:59:59+02:00;1;Burgenland;75-84;Female;12340;10693;86.65316045380881
2022-10-19T23:59:59+02:00;1;Burgenland;75-84;Male;9699;8643;89.11227961645528
