date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-12-06T23:59:59+01:00;0;NoState;00-11;Female;0;164;-1.0
2022-12-06T23:59:59+01:00;0;NoState;00-11;Male;0;145;-1.0
2022-12-06T23:59:59+01:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;12-14;Female;0;190;-1.0
2022-12-06T23:59:59+01:00;0;NoState;12-14;Male;0;181;-1.0
2022-12-06T23:59:59+01:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;15-24;Female;0;2938;-1.0
2022-12-06T23:59:59+01:00;0;NoState;15-24;Male;0;2697;-1.0
2022-12-06T23:59:59+01:00;0;NoState;15-24;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;25-34;Female;0;4514;-1.0
2022-12-06T23:59:59+01:00;0;NoState;25-34;Male;0;5796;-1.0
2022-12-06T23:59:59+01:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-12-06T23:59:59+01:00;0;NoState;35-44;Female;0;3954;-1.0
2022-12-06T23:59:59+01:00;0;NoState;35-44;Male;0;5396;-1.0
2022-12-06T23:59:59+01:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-12-06T23:59:59+01:00;0;NoState;45-54;Female;0;5332;-1.0
2022-12-06T23:59:59+01:00;0;NoState;45-54;Male;0;4869;-1.0
2022-12-06T23:59:59+01:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-12-06T23:59:59+01:00;0;NoState;55-64;Female;0;3702;-1.0
2022-12-06T23:59:59+01:00;0;NoState;55-64;Male;0;3340;-1.0
2022-12-06T23:59:59+01:00;0;NoState;55-64;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;65-74;Female;0;1582;-1.0
2022-12-06T23:59:59+01:00;0;NoState;65-74;Male;0;1269;-1.0
2022-12-06T23:59:59+01:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;75-84;Female;0;1042;-1.0
2022-12-06T23:59:59+01:00;0;NoState;75-84;Male;0;801;-1.0
2022-12-06T23:59:59+01:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;85+;Female;0;451;-1.0
2022-12-06T23:59:59+01:00;0;NoState;85+;Male;0;150;-1.0
2022-12-06T23:59:59+01:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;0;NoState;All;All;0;49113;-1.0
2022-12-06T23:59:59+01:00;0;NoState;NotAssigned;NotAssigned;0;592;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;00-11;Female;15340;952;6.2059973924380705
2022-12-06T23:59:59+01:00;1;Burgenland;00-11;Male;16182;1048;6.47633172660981
2022-12-06T23:59:59+01:00;1;Burgenland;00-11;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;12-14;Female;4106;1466;35.7038480272772
2022-12-06T23:59:59+01:00;1;Burgenland;12-14;Male;4259;1569;36.839633716834896
2022-12-06T23:59:59+01:00;1;Burgenland;12-14;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;15-24;Female;13097;7098;54.195617316942794
2022-12-06T23:59:59+01:00;1;Burgenland;15-24;Male;14218;7141;50.225066816711205
2022-12-06T23:59:59+01:00;1;Burgenland;15-24;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;25-34;Female;15146;6952;45.8999075663542
2022-12-06T23:59:59+01:00;1;Burgenland;25-34;Male;15608;7244;46.4120963608406
2022-12-06T23:59:59+01:00;1;Burgenland;25-34;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;35-44;Female;19758;9128;46.1990079967608
2022-12-06T23:59:59+01:00;1;Burgenland;35-44;Male;18839;9099;48.298741971442205
2022-12-06T23:59:59+01:00;1;Burgenland;35-44;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;45-54;Female;22704;11629;51.2200493305144
2022-12-06T23:59:59+01:00;1;Burgenland;45-54;Male;21975;11812;53.751990898748595
2022-12-06T23:59:59+01:00;1;Burgenland;45-54;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;55-64;Female;25229;14743;58.4367196480241
2022-12-06T23:59:59+01:00;1;Burgenland;55-64;Male;24723;14728;59.572058407151204
2022-12-06T23:59:59+01:00;1;Burgenland;55-64;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;65-74;Female;19801;12654;63.9058633402353
2022-12-06T23:59:59+01:00;1;Burgenland;65-74;Male;18667;12227;65.5006160604275
2022-12-06T23:59:59+01:00;1;Burgenland;65-74;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;75-84;Female;12620;8102;64.1996830427892
2022-12-06T23:59:59+01:00;1;Burgenland;75-84;Male;9928;6667;67.1535052377115
2022-12-06T23:59:59+01:00;1;Burgenland;75-84;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;85+;Female;5991;3693;61.6424636955433
2022-12-06T23:59:59+01:00;1;Burgenland;85+;Male;3012;1840;61.0889774236388
2022-12-06T23:59:59+01:00;1;Burgenland;85+;NonBinary;0;0;-1.0
2022-12-06T23:59:59+01:00;1;Burgenland;All;All;301203;149792;49.731244376716006
