date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-11-06T23:59:59+01:00;0;NoState;00-11;Female;0;187;-1.0
2022-11-06T23:59:59+01:00;0;NoState;00-11;Male;0;169;-1.0
2022-11-06T23:59:59+01:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;12-14;Female;0;226;-1.0
2022-11-06T23:59:59+01:00;0;NoState;12-14;Male;0;198;-1.0
2022-11-06T23:59:59+01:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;15-24;Female;0;3397;-1.0
2022-11-06T23:59:59+01:00;0;NoState;15-24;Male;0;3032;-1.0
2022-11-06T23:59:59+01:00;0;NoState;15-24;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;25-34;Female;0;5471;-1.0
2022-11-06T23:59:59+01:00;0;NoState;25-34;Male;0;6793;-1.0
2022-11-06T23:59:59+01:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-11-06T23:59:59+01:00;0;NoState;35-44;Female;0;5025;-1.0
2022-11-06T23:59:59+01:00;0;NoState;35-44;Male;0;6448;-1.0
2022-11-06T23:59:59+01:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-11-06T23:59:59+01:00;0;NoState;45-54;Female;0;6874;-1.0
2022-11-06T23:59:59+01:00;0;NoState;45-54;Male;0;6022;-1.0
2022-11-06T23:59:59+01:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-11-06T23:59:59+01:00;0;NoState;55-64;Female;0;4945;-1.0
2022-11-06T23:59:59+01:00;0;NoState;55-64;Male;0;4372;-1.0
2022-11-06T23:59:59+01:00;0;NoState;55-64;NonBinary;0;1;-1.0
2022-11-06T23:59:59+01:00;0;NoState;65-74;Female;0;2144;-1.0
2022-11-06T23:59:59+01:00;0;NoState;65-74;Male;0;1678;-1.0
2022-11-06T23:59:59+01:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;75-84;Female;0;1372;-1.0
2022-11-06T23:59:59+01:00;0;NoState;75-84;Male;0;1018;-1.0
2022-11-06T23:59:59+01:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;85+;Female;0;557;-1.0
2022-11-06T23:59:59+01:00;0;NoState;85+;Male;0;185;-1.0
2022-11-06T23:59:59+01:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;0;NoState;All;All;0;60814;-1.0
2022-11-06T23:59:59+01:00;0;NoState;NotAssigned;NotAssigned;0;692;-1.0
2022-11-06T23:59:59+01:00;1;Burgenland;00-11;Female;15261;907;5.94325404626171
2022-11-06T23:59:59+01:00;1;Burgenland;00-11;Male;16126;1013;6.28178097482327
2022-11-06T23:59:59+01:00;1;Burgenland;00-11;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;1;Burgenland;12-14;Female;4030;1474;36.575682382134
2022-11-06T23:59:59+01:00;1;Burgenland;12-14;Male;4246;1575;37.09373528026379
2022-11-06T23:59:59+01:00;1;Burgenland;12-14;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;1;Burgenland;15-24;Female;13084;8252;63.0693977376949
2022-11-06T23:59:59+01:00;1;Burgenland;15-24;Male;14105;8111;57.5044310528181
2022-11-06T23:59:59+01:00;1;Burgenland;15-24;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;1;Burgenland;25-34;Female;15170;8995;59.294660514172705
2022-11-06T23:59:59+01:00;1;Burgenland;25-34;Male;15566;9132;58.666324039573404
2022-11-06T23:59:59+01:00;1;Burgenland;25-34;NonBinary;0;0;-1.0
2022-11-06T23:59:59+01:00;1;Burgenland;35-44;Female;19628;12345;62.894844100264905
2022-11-06T23:59:59+01:00;1;Burgenland;35-44;Male;18676;11700;62.64724780466911
