date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-10-22T23:59:59+02:00;0;NoState;00-11;Female;0;197;-1.0
2022-10-22T23:59:59+02:00;0;NoState;00-11;Male;0;190;-1.0
2022-10-22T23:59:59+02:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;12-14;Female;0;242;-1.0
2022-10-22T23:59:59+02:00;0;NoState;12-14;Male;0;218;-1.0
2022-10-22T23:59:59+02:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;15-24;Female;0;3429;-1.0
2022-10-22T23:59:59+02:00;0;NoState;15-24;Male;0;3083;-1.0
2022-10-22T23:59:59+02:00;0;NoState;15-24;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;25-34;Female;0;5570;-1.0
2022-10-22T23:59:59+02:00;0;NoState;25-34;Male;0;6853;-1.0
2022-10-22T23:59:59+02:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-10-22T23:59:59+02:00;0;NoState;35-44;Female;0;5156;-1.0
2022-10-22T23:59:59+02:00;0;NoState;35-44;Male;0;6543;-1.0
2022-10-22T23:59:59+02:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-10-22T23:59:59+02:00;0;NoState;45-54;Female;0;7000;-1.0
2022-10-22T23:59:59+02:00;0;NoState;45-54;Male;0;6088;-1.0
2022-10-22T23:59:59+02:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-10-22T23:59:59+02:00;0;NoState;55-64;Female;0;5054;-1.0
2022-10-22T23:59:59+02:00;0;NoState;55-64;Male;0;4429;-1.0
2022-10-22T23:59:59+02:00;0;NoState;55-64;NonBinary;0;1;-1.0
2022-10-22T23:59:59+02:00;0;NoState;65-74;Female;0;2176;-1.0
2022-10-22T23:59:59+02:00;0;NoState;65-74;Male;0;1708;-1.0
2022-10-22T23:59:59+02:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;75-84;Female;0;1441;-1.0
2022-10-22T23:59:59+02:00;0;NoState;75-84;Male;0;1061;-1.0
2022-10-22T23:59:59+02:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;85+;Female;0;584;-1.0
2022-10-22T23:59:59+02:00;0;NoState;85+;Male;0;197;-1.0
2022-10-22T23:59:59+02:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;0;NoState;All;All;0;61938;-1.0
2022-10-22T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;0;710;-1.0
2022-10-22T23:59:59+02:00;1;Burgenland;00-11;Female;15261;897;5.87772754079025
2022-10-22T23:59:59+02:00;1;Burgenland;00-11;Male;16126;971;6.02133201041796
2022-10-22T23:59:59+02:00;1;Burgenland;00-11;NonBinary;0;0;-1.0
2022-10-22T23:59:59+02:00;1;Burgenland;12-14;Female;4030;1478;36.674937965260504
2022-10-22T23:59:59+02:00;1;Burgenland;12-14;Male;4246;1567;36.905322656618
