date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-10-13T23:59:59+02:00;0;NoState;00-11;Female;0;195;-1.0
2022-10-13T23:59:59+02:00;0;NoState;00-11;Male;0;197;-1.0
2022-10-13T23:59:59+02:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;0;NoState;12-14;Female;0;240;-1.0
2022-10-13T23:59:59+02:00;0;NoState;12-14;Male;0;219;-1.0
2022-10-13T23:59:59+02:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;0;NoState;15-24;Female;0;3438;-1.0
2022-10-13T23:59:59+02:00;0;NoState;15-24;Male;0;3110;-1.0
2022-10-13T23:59:59+02:00;0;NoState;15-24;NonBinary;0;1;-1.0
2022-10-13T23:59:59+02:00;0;NoState;25-34;Female;0;5610;-1.0
2022-10-13T23:59:59+02:00;0;NoState;25-34;Male;0;6867;-1.0
2022-10-13T23:59:59+02:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-10-13T23:59:59+02:00;0;NoState;35-44;Female;0;5206;-1.0
2022-10-13T23:59:59+02:00;0;NoState;35-44;Male;0;6549;-1.0
2022-10-13T23:59:59+02:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-10-13T23:59:59+02:00;0;NoState;45-54;Female;0;7046;-1.0
2022-10-13T23:59:59+02:00;0;NoState;45-54;Male;0;6093;-1.0
2022-10-13T23:59:59+02:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-10-13T23:59:59+02:00;0;NoState;55-64;Female;0;5066;-1.0
2022-10-13T23:59:59+02:00;0;NoState;55-64;Male;0;4458;-1.0
2022-10-13T23:59:59+02:00;0;NoState;55-64;NonBinary;0;1;-1.0
2022-10-13T23:59:59+02:00;0;NoState;65-74;Female;0;2194;-1.0
2022-10-13T23:59:59+02:00;0;NoState;65-74;Male;0;1730;-1.0
2022-10-13T23:59:59+02:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;0;NoState;75-84;Female;0;1467;-1.0
2022-10-13T23:59:59+02:00;0;NoState;75-84;Male;0;1095;-1.0
2022-10-13T23:59:59+02:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;0;NoState;85+;Female;0;623;-1.0
2022-10-13T23:59:59+02:00;0;NoState;85+;Male;0;212;-1.0
2022-10-13T23:59:59+02:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;0;NoState;All;All;0;62345;-1.0
2022-10-13T23:59:59+02:00;0;NoState;NotAssigned;NotAssigned;0;720;-1.0
2022-10-13T23:59:59+02:00;1;Burgenland;00-11;Female;15261;846;5.54354236288579
2022-10-13T23:59:59+02:00;1;Burgenland;00-11;Male;16126;911;5.649262061267519
2022-10-13T23:59:59+02:00;1;Burgenland;00-11;NonBinary;0;0;-1.0
2022-10-13T23:59:59+02:00;1;Burgenland;12-14;Female;4030;1472;36.5260545905707
2022-10-13T23:59:59+02:00;1;Burgenland;12-14;Male;4246;1560;36.740461610927895
2022-10-13T23:59:59+02:00;1;Burgenland;12-14;NonBinary;0;0;-1.0
