date;state_id;state_name;age_group;gender;population;vaccinated_according_to_recommendation;vaccinated_according_to_recommendation_percent
2022-12-05T23:59:59+01:00;0;NoState;00-11;Female;0;165;-1.0
2022-12-05T23:59:59+01:00;0;NoState;00-11;Male;0;145;-1.0
2022-12-05T23:59:59+01:00;0;NoState;00-11;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;12-14;Female;0;191;-1.0
2022-12-05T23:59:59+01:00;0;NoState;12-14;Male;0;181;-1.0
2022-12-05T23:59:59+01:00;0;NoState;12-14;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;15-24;Female;0;2949;-1.0
2022-12-05T23:59:59+01:00;0;NoState;15-24;Male;0;2705;-1.0
2022-12-05T23:59:59+01:00;0;NoState;15-24;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;25-34;Female;0;4542;-1.0
2022-12-05T23:59:59+01:00;0;NoState;25-34;Male;0;5821;-1.0
2022-12-05T23:59:59+01:00;0;NoState;25-34;NonBinary;0;5;-1.0
2022-12-05T23:59:59+01:00;0;NoState;35-44;Female;0;3974;-1.0
2022-12-05T23:59:59+01:00;0;NoState;35-44;Male;0;5411;-1.0
2022-12-05T23:59:59+01:00;0;NoState;35-44;NonBinary;0;2;-1.0
2022-12-05T23:59:59+01:00;0;NoState;45-54;Female;0;5349;-1.0
2022-12-05T23:59:59+01:00;0;NoState;45-54;Male;0;4888;-1.0
2022-12-05T23:59:59+01:00;0;NoState;45-54;NonBinary;0;1;-1.0
2022-12-05T23:59:59+01:00;0;NoState;55-64;Female;0;3716;-1.0
2022-12-05T23:59:59+01:00;0;NoState;55-64;Male;0;3349;-1.0
2022-12-05T23:59:59+01:00;0;NoState;55-64;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;65-74;Female;0;1587;-1.0
2022-12-05T23:59:59+01:00;0;NoState;65-74;Male;0;1270;-1.0
2022-12-05T23:59:59+01:00;0;NoState;65-74;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;75-84;Female;0;1043;-1.0
2022-12-05T23:59:59+01:00;0;NoState;75-84;Male;0;803;-1.0
2022-12-05T23:59:59+01:00;0;NoState;75-84;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;85+;Female;0;451;-1.0
2022-12-05T23:59:59+01:00;0;NoState;85+;Male;0;150;-1.0
2022-12-05T23:59:59+01:00;0;NoState;85+;NonBinary;0;0;-1.0
2022-12-05T23:59:59+01:00;0;NoState;All;All;0;49294;-1.0
2022-12-05T23:59:59+01:00;0;NoState;NotAssigned;NotAssigned;0;596;-1.0
2022-12-05T23:59:59+01:00;1;Burgenland;00-11;Female;15340;952;6.2059973924380705
2022-12-05T23:59:59+01:00;1;Burgenland;00-11;Male;16182;1047;6.47015202076381
