date;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
2022-12-12T23:59:59+01:00;0;NoState;00-11;Female;AstraZeneca;1;2
2022-12-12T23:59:59+01:00;0;NoState;00-11;Male;AstraZeneca;1;1
2022-12-12T23:59:59+01:00;0;NoState;00-11;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;00-11;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;12-14;Female;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;12-14;Male;AstraZeneca;1;1
2022-12-12T23:59:59+01:00;0;NoState;12-14;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;12-14;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;15-24;Female;AstraZeneca;1;393
2022-12-12T23:59:59+01:00;0;NoState;15-24;Male;AstraZeneca;1;320
2022-12-12T23:59:59+01:00;0;NoState;15-24;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;15-24;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;25-34;Female;AstraZeneca;1;852
2022-12-12T23:59:59+01:00;0;NoState;25-34;Male;AstraZeneca;1;934
2022-12-12T23:59:59+01:00;0;NoState;25-34;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;25-34;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;35-44;Female;AstraZeneca;1;1018
2022-12-12T23:59:59+01:00;0;NoState;35-44;Male;AstraZeneca;1;945
2022-12-12T23:59:59+01:00;0;NoState;35-44;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;35-44;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;45-54;Female;AstraZeneca;1;1610
2022-12-12T23:59:59+01:00;0;NoState;45-54;Male;AstraZeneca;1;927
2022-12-12T23:59:59+01:00;0;NoState;45-54;NonBinary;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;45-54;NotAssigned;AstraZeneca;1;0
2022-12-12T23:59:59+01:00;0;NoState;55-64;Female;AstraZeneca;1;1410
2022-12-12T23:59:59+01:00;0;NoState;55-64;Male;AstraZeneca;1;857
2022-12-12T23:59:59+01:00;0;NoState;55-64;NonBinary;AstraZeneca;1;0
